Company,Status,Industry,Industry Rank,Employees_estimate,Estimated Hourly Population,Buyer in Region,Champion in Region,Applicant Tracking System,ATS Match,Number of Vacancies Est,ICP Score,Owner,
Woolworths Group,Client,Food & general retail,1,"202,846","162,277",1,1,Workday Recruiting,1,100,100,AM,
ABB Ltd (AU ops),Prospect,Electrification & automation,3,"10,000","5,000",0,0,SAP SuccessFactors,1,100,46.6,Brendan,
Accor Hotels (Property Ops),Prospect,Hospitality & hotels,1,"45,000","36,000",0,1,?,1,100,83.8,Brendan,
Wesfarmers,Client,Retail conglomerate,1,"120,000","84,000",1,1,?,1,100,97.6,AM,
AGL Energy Ltd,Prospect,Energy generation & retail,2,"4,500",900,1,1,?,1,100,71.4,Brendan,
AIA APAC,Prospect,Insurance & financial services,2,"23,000","1,150",0,1,Workday,1,100,65.2,Brendan,
Air New Zealand,Prospect,Airlines,1,"11,710","6,441",1,1,?,1,100,87.4,Brendan,
Amazon Australia,Prospect,E-commerce & cloud,1,"10,000","5,000",0,1,?,1,100,76.6,Brendan,
Endeavour Group,Client,Liquor retail & hotels,1,"30,000","22,500",1,1,?,1,100,92,AM,
Qantas Airways,Client,Airlines,1,"29,720","16,346",1,1,?,1,100,91.3,AM,
Ansell Ltd,Prospect,PPE manufacturing,2,"14,000","4,200",1,1,?,1,100,76.9,Brendan,
ANZ Group Holdings,Prospect,Banking,1,"42,698","4,270",1,1,?,1,100,89.2,Brendan,
APM,Prospect,Support Services,1,16000,5000,1,1,Smartrecruiters,1,100,87.6,Brendan,
Aristocrat Leisure Ltd,Prospect,Gaming technology,3,"8,500",850,1,1,?,1,100,62.6,Brendan,
Ashurst Australia,Prospect,Legal services,2,"2,000",200,1,1,?,1,100,66.6,Brendan,
Auckland Airport,Prospect,Airport operations,1,"1,700","1,100",1,1,?,1,100,79.8,Brendan,
Aurizon Holdings Ltd,Prospect,Rail freight,1,"5,988","3,593",1,1,?,1,100,84.9,Brendan,
Aussie Broadband,Prospect,Telecommunications,6,1200,240,1,1,Various (see notes),1,,55.56555,Brendan,
Australian Unity,Prospect,,,,,,,,,,78,Brendan,
Bank of Queensland Ltd,Prospect,Banking,1,"6,500",650,1,1,?,1,100,81.5,Brendan,
Westpac Banking Corporation,Prospect,Banking,1,"35,236","3,524",1,1,Workday Recruiting,1,100,88.4,AM,
BHP,Prospect,Mining & metals,2,"40,648","18,292",1,1,SAP SuccessFactors,1,100,82.2,Brendan,
Bupa Hospitals & Care,client,Healthcare & insurance,1,"85,000","51,000",0,1,Workday,1,100,85.8,Brendan,
Canva,Prospect,Software,3,"5,500",275,1,1,?,1,100,59.3,Brendan,
Clayton Utz,Prospect,Legal services,3,"1,800",180,1,1,?,1,100,56.2,Brendan,
Cleanaway Waste Management,Prospect,Waste management,1,"10,000","6,000",1,1,?,1,100,87,Brendan,
Coca-Cola Europacific Partners (AU),Prospect,Beverage bottling,2,"10,000","5,000",0,1,SAP SuccessFactors,1,100,66.6,Brendan,
Cochlear Ltd,Prospect,Medical devices,2,"4,000",800,1,1,?,1,100,70.9,Brendan,
Commonwealth Bank of Australia,Prospect,Banking,1,"55,024",0,1,1,?,1,100,72.3,Brendan,
dnata APAC,Prospect,Aviation ground handling,1,"35,000","28,000",0,1,?,1,100,82.7,Brendan,
Domino's Pizza Enterprises,Prospect,Quick-service restaurants,1,"21,000","18,000",1,1,?,1,100,90.8,Brendan,
Downer Group,Prospect,Engineering & construction,2,"26,000","13,000",1,1,?,1,100,80.5,Brendan,
Fisher & Paykel Healthcare,Prospect,Medical devices,2,"7,440","2,232",1,1,?,1,100,74.3,Brendan,
Flight Centre Travel Group,Prospect,Travel services,2,"16,000","9,600",1,1,?,1,100,78.9,Brendan,
Glencore (AU ops),Prospect,Mining & commodities,1,"10,000","5,000",1,1,SAP SuccessFactors,1,100,86.6,Brendan,
Harvey Norman,Prospect,Retail (home & electronics),1,"12,000","9,000",1,1,?,1,100,88.2,Brendan,
Healthscope,Prospect,Private hospitals,1,"18,000","14,400",1,1,?,1,100,90,Brendan,
IKEA Australia,Prospect,Home furnishings retail,2,"10,000","5,000",0,1,?,1,100,66.6,Brendan,
Jardine Matheson Group,Prospect,,1,"440,000",,,,,,,,Brendan,
JB Hi-Fi,Prospect,Electronics retail,1,"16,000","11,200",1,1,?,1,100,89.2,Brendan,
KFC ANZ,Prospect,Quick-service restaurants,1,"22,000","18,700",0,1,?,1,100,81,Brendan,
Lovisa Holdings Ltd,Prospect,Specialty retail,2,"10,000","8,000",1,1,?,1,100,77.6,Brendan,
Macquarie Group,Client,Financial services,1,"19,735","1,974",1,1,?,1,100,86,Brendan,
Mainfreight,Prospect,Freight & logistics,3,"11,130","7,235",1,1,?,1,100,67.6,Brendan,
McDonald's Australia,Prospect,Quick-service restaurants,1,"10,000","5,000",0,1,?,1,100,76.6,Brendan,
Medibank,Prospect,Health insurance,1,"4,000",200,1,1,?,1,100,78,Brendan,
Microsoft (AU ops),Prospect,Software & cloud,3,"10,000","5,000",0,1,Workday,1,100,56.6,Brendan,
MinterEllison,Prospect,Legal services,1,"2,500",250,1,1,?,1,100,77.5,Brendan,
National Australia Bank,Prospect,Banking,1,"41,880","4,188",1,1,?,1,100,89.2,Brendan,
Nestlé,Prospect,Food & beverage manufacturing,2,"10,000","5,000",0,0,SAP SuccessFactors,1,100,56.6,Brendan,
Officeworks,Prospect,Office & stationery retail,1,"9,000","7,200",1,1,?,1,100,87.1,Brendan,
Optus,Prospect,Telecommunications,1,"7,572","1,514",1,1,?,1,100,83.5,Brendan,
Oracle (AU ops),Prospect,Enterprise software,3,"10,000","5,000",0,1,?,1,100,56.6,Brendan,
Perpetual Ltd,Prospect,Asset management,1,"1,500",75,1,1,?,1,100,74,Brendan,
PwC Australia,Prospect,Professional services,2,"9,000",450,1,1,?,1,100,71.4,Brendan,
Qube Holdings,Prospect,Freight & logistics,2,"10,000","6,500",1,1,?,1,100,77.1,Brendan,
Ramsay Health Care,Prospect,Private hospitals,1,"77,000","61,600",1,1,?,1,100,96,Brendan,
Reece,Client,Building products distribution,1,"9,001","4,501",1,1,?,1,100,86.2,Brendan,
ResMed,Prospect,Medical devices,3,"10,600",530,1,1,?,1,100,62,Brendan,
Ryman Healthcare,Prospect,Aged care & retirement,2,"7,500","6,000",1,1,?,1,100,76.4,Brendan,
Shangri-La Hotels,Prospect,Hospitality,1,"40,000","32,000",0,1,?,1,100,83.3,Brendan,
Siemens (AU ops),Prospect,Industrial technology,2,"10,000","5,000",0,1,SAP SuccessFactors,1,100,66.6,Brendan,
Sigma Healthcare,Prospect,Pharmaceutical distribution,2,"5,000","2,000",1,1,?,1,100,73.3,Brendan,
Spotless,Prospect,Facilities management,1,"36,000","30,000",1,1,?,1,100,92.9,Brendan,
St John of God Health Care,Prospect,Private hospitals,3,"16,000","12,800",1,1,?,1,100,69.5,Brendan,
Standard Chartered APAC,Prospect,Banking,1,"40,000","2,000",0,1,Workday,1,100,77.5,Brendan,
Star Entertainment Group,Prospect,Casino & Hospitality,2,8000,1600,1,1,Various,1,,82.95243,Brendan,
Summerset Group,Prospect,Retirement living,1,"6,000","4,800",1,1,?,1,100,85.5,Brendan,
Suncorp Group,Client,Insurance & financial services,1,"11,500","1,150",1,1,?,1,100,83.8,Brendan,
Superloop (incl. Exetel),Prospect,Telecommunications,7,800,160,1,1,Various (see notes),1,,50,Brendan,
Swissport APAC,Prospect,Aviation ground handling,1,"50,000","40,000",0,1,?,1,100,84.2,Brendan,
Sydney Airport,Prospect,Airport operations,1,"1,000",600,1,1,?,1,100,77.5,Brendan,
Telstra,Prospect,Telecommunications,1,30553,6111,1,1,Various (see notes),1,,98,Brendan,
The Good Guys,Prospect,Consumer electronics retail,1,"3,500","2,800",1,1,?,1,100,83.2,Brendan,
The Warehouse Group,Prospect,General merchandise retail,1,"8,032","6,024",1,1,?,1,100,86.5,Brendan,
TPG Telecom (incl. Vodafone),Prospect,Telecommunications,4,3300,660,1,1,Various (see notes),1,,69.45113,Brendan,
Transurban Group,Prospect,Toll-road infrastructure,1,"3,000",300,1,1,?,1,100,78.3,Brendan,
Unilever (AU ops),Prospect,Consumer goods manufacturing,3,"10,000","5,000",0,1,SAP SuccessFactors,1,100,56.6,Brendan,
UOB,Prospect,Banking,2,"26,000","1,300",1,1,?,1,100,75.7,Brendan,
Ventia,Prospect,Infrastructure services,1,"35,000","28,000",1,1,SAP SuccessFactors,1,100,92.7,Brendan,
Visy,Prospect,Packaging & recycling,1,"7,000","3,150",1,1,?,1,100,84.9,Brendan,
Wisetech Global Ltd,Prospect,Logistics software,1,"3,000",150,1,1,Greenhouse,1,100,76.8,Brendan,
ZIP Co Ltd,Prospect,Fintech (BNPL),3,"1,000",100,1,1,?,1,100,53.7,Brendan,
7-Eleven Australia,Prospect,Convenience retail,1,"9,000","6,300",0,1,?,1,100,76.9,Kim JW,
A.P. Moller Maersk (AU ops),Prospect,Shipping & logistics,3,"10,000","5,000",0,0,SAP SuccessFactors,1,100,46.6,Kim JW,
Accenture plc (AU ops),Prospect,IT & professional services,2,"10,000","5,000",1,1,Workday,1,100,76.6,Kim JW,
ALDI Australia,Prospect,Discount supermarket retail,1,"10,000","5,000",0,1,?,1,100,76.6,Kim JW,
Alphabet (Google AU),Prospect,Internet & software,3,"10,000","5,000",0,1,?,1,100,56.6,Kim JW,
AMP,Prospect,Financial services,1,,,,,,,,56.6,Kim JW,
Atlassian,Prospect,Software,3,"13,813",691,1,1,?,1,100,63.1,Kim JW,
BaptistCare,Prospect,Aged care & community services,1,"8,000","6,400",1,1,?,1,100,86.6,Kim JW,
Barchester Healthcare,Prospect,Aged care,1,"17,000","13,600",0,1,?,1,100,79.8,Kim JW,UK?
Bendigo and Adelaide Bank Ltd,Prospect,Banking,1,"7,300",730,1,1,?,1,100,81.9,Kim JW,
BlueScope Steel,Prospect,Steel manufacturing,2,"16,500","8,250",1,1,?,1,100,78.7,Kim JW,
Brambles Ltd,Prospect,Supply-chain services,2,"12,058","4,823",1,1,?,1,100,76.9,Kim JW,
Challenger Ltd,Prospect,Financial services,3,"1,000",100,1,1,?,1,100,53.7,Kim JW,
Coles Group,Prospect,Food retail,1,"115,000","92,000",1,1,?,1,100,97.7,Kim JW,
Compass Group APAC,Prospect,Catering & facilities,1,"45,000","36,000",0,1,SAP SuccessFactors,1,100,83.8,Kim JW,
Costco Australia,Prospect,Warehouse retail,1,"10,000","5,000",0,1,?,1,100,76.6,Kim JW,
Crown Resorts,Prospect,Casino & Hospitality,1,18000,3600,1,1,Various,1,,93.26879,Kim JW,
CSL,Prospect,Biotechnology,2,"29,904","2,990",1,1,?,1,100,77.8,Kim JW,
Datacom,Prospect,IT services,2,"5,375",538,1,1,?,1,100,70.7,Kim JW,
DBS Bank,Prospect,Banking,1,"36,000","1,800",1,1,Workday,1,100,87.1,Kim JW,
Deloitte Australia,Prospect,Professional services,1,"12,000",600,1,1,?,1,100,82.5,Kim JW,
DHL Group (AU ops),Prospect,Logistics & parcel delivery,2,"10,000","5,000",0,1,SAP SuccessFactors,1,100,66.6,Kim JW,
EBOS Group,Prospect,Healthcare distribution,2,"5,770",577,1,1,?,1,100,71,Kim JW,
EVT Ltd,Prospect,Hospitality & entertainment,1,"11,000","7,700",1,1,?,1,100,87.7,Kim JW,
EY Australia,Prospect,Professional services,2,"9,000",450,1,1,?,1,100,71.4,Kim JW,
FedEx (AU ops),Prospect,Logistics & parcel delivery,2,"10,000","5,000",0,1,?,1,100,66.6,Kim JW,
Fletcher Building,Prospect,Construction materials,2,"12,500","5,625",1,1,?,1,100,77.3,Kim JW,
Fonterra,Prospect,Dairy processing,2,"16,215","6,486",1,1,?,1,100,78.1,Kim JW,
Foodstuffs North Island,Prospect,Grocery retail,1,"24,000","19,200",1,1,?,1,100,91.2,Kim JW,
Foodstuffs South Island,Prospect,Grocery retail,1,"14,000","11,200",1,1,?,1,100,89,Kim JW,
Fortescue,Prospect,Mining (iron ore),1,"16,000","8,000",1,1,?,1,100,88.5,Kim JW,
Freightways Group,Prospect,Logistics,1,"6,000","3,600",1,1,?,1,100,84.9,Kim JW,
HammondCare,Prospect,Aged care & health,1,"7,000","5,600",1,1,?,1,100,86.1,Kim JW,
HCF,Prospect,Health insurance,1,"3,500",175,1,1,?,1,100,77.5,Kim JW,
Healius,Prospect,Pathology & diagnostics,1,"10,000","2,500",1,1,?,1,100,85.1,Kim JW,
HSBC APAC,Prospect,Banking,1,"40,000","2,000",0,1,Workday,1,100,77.5,Kim JW,
Hungry Jack's,Prospect,Quick-service restaurants,1,"19,000","16,000",1,1,?,1,100,90.3,Kim JW,
IAG,Prospect,Insurance,2,"15,000","1,500",1,1,?,1,100,74.9,Kim JW,
IBM (AU ops),Prospect,IT & consulting,3,"10,000","5,000",0,1,Workday,1,100,56.6,Kim JW,
ISS World APAC,Prospect,Facilities services,2,"30,000","24,000",0,0,?,1,100,62.1,Kim JW,
King & Wood Mallesons,Prospect,Legal services,2,"3,000",300,1,1,?,1,100,68.3,Kim JW,
Linfox,Prospect,Logistics & supply chain,2,"24,000","16,800",1,1,?,1,100,80.9,Kim JW,
Lotterywest,Prospect,Lottery Operations,1,600,120,1,1,Various,1,,50,Kim JW,
Marriott Hotels APAC,Prospect,Hospitality & hotels,2,"50,000","40,000",0,1,?,1,100,74.2,Kim JW,
Metcash Ltd,Prospect,Wholesale distribution,1,"11,500","6,325",1,1,?,1,100,87.4,Kim JW,
Minor Hotels,Prospect,Hospitality & hotels,1,"25,000","20,000",0,1,?,1,100,81.4,Kim JW,
Mitre 10 NZ,Prospect,Hardware retail,1,"6,000","4,800",1,1,?,1,100,85.5,Kim JW,
NBN Co,Prospect,Telecommunications,3,4354,871,1,1,Various (see notes),1,,73.25688,Kim JW,
OCBC Bank,Prospect,Banking,1,"30,000","1,500",1,1,Workday,1,100,86.3,Kim JW,
Orica,Prospect,Mining services & chemicals,2,"14,000","5,600",1,1,?,1,100,77.5,Kim JW,
Primary Health Care,Prospect,Medical centres & pathology,1,"14,000","3,500",1,1,?,1,100,86.5,Kim JW,
QBE Insurance Group,Prospect,Insurance,1,"13,275","1,328",1,1,?,1,100,84.4,Kim JW,
REA Group,Prospect,Digital marketplaces,2,"3,000",150,1,1,?,1,100,66.8,Kim JW,
Rio Tinto,Prospect,Mining & metals,2,"55,561","25,002",1,1,SAP SuccessFactors,1,100,83.5,Kim JW,
SAP (AU ops),Prospect,Enterprise software,3,"10,000","5,000",0,1,?,1,100,56.6,Kim JW,
Schneider Electric (AU ops),Prospect,Energy & automation,3,"10,000","5,000",0,1,SAP SuccessFactors,1,100,56.6,Kim JW,
Serco APAC,Prospect,Government services,3,"20,000","16,000",0,1,?,1,100,60.4,Kim JW,
SGH Limited (Seven Group),Prospect,Diversified industrials,3,"11,006","4,402",1,1,?,1,100,66.5,Kim JW,
Sodexo APAC,Prospect,Facilities & food services,1,"50,000","40,000",0,1,SAP SuccessFactors,1,100,84.2,Kim JW,
Sonic Healthcare,Prospect,Pathology & diagnostics,1,"45,000",0,1,1,?,1,100,71.9,Kim JW,
South32,Prospect,Mining,2,"8,892","4,001",1,1,?,1,100,75.9,Kim JW,
Southern Cross Healthcare,Prospect,Aged care & health,1,"4,000","3,200",1,1,?,1,100,83.8,Kim JW,
Super Retail Group,Prospect,Specialty retail,1,"15,981","11,187",1,1,?,1,100,89.2,Kim JW,
Tabcorp,Prospect,Gaming & Wagering,1,3000,600,1,1,Various,1,,70.47468,Kim JW,
TechnologyOne Ltd,Prospect,Enterprise software,1,"1,300",65,1,1,?,1,100,73.4,Kim JW,
Telix Pharmaceuticals Ltd,Prospect,Biotechnology,1,800,80,1,1,?,1,100,72.8,Kim JW,
Toll Group,Prospect,Logistics & transport,2,"16,000","16,000",1,1,?,1,100,80,Kim JW,
Toyota Motor Corp (AU ops),Prospect,Automotive manufacturing,2,"10,000","5,000",0,1,?,1,100,66.6,Kim JW,
UnitingCare,Prospect,Health & aged care,1,"12,000","9,600",1,1,?,1,100,88.3,Kim JW,
UPS (AU ops),Prospect,Logistics & parcel delivery,3,"10,000","5,000",0,1,,1,100,56.6,Kim JW,
Virgin Australia,Prospect,Airlines,1,"8,000","4,400",1,1,Workday Recruiting,1,100,85.9,Kim JW,
Vocus,Prospect,Telecommunications,5,1700,340,1,1,Various (see notes),1,,60.34653,Kim JW,
Jollibee Foods Corporation,Prospect,Quick-service restaurants (hospitality/F&B),,"15,000 (disputed across sources, see Jollibee_Brief.md)",,1,1,SAP SuccessFactors,1,,95.5,Brendan,
Australia Post,Prospect,Public sector / logistics,,"64,000",,1,1,Avature,1,,90.5,Brendan,
Apollo Hospitals Enterprise Ltd,Prospect,Healthcare (private hospitals),,"40,000 (disputed across sources, see ApolloHospitals_Brief.md)",,1,0,Oracle Fusion Cloud HCM,1,,90.5,Brendan,
Globe Telecom Inc.,Prospect,Telecommunications,,"6,806",,1,0,Workday,1,,83.5,Brendan,
FairPrice Group (NTUC FairPrice),Prospect,Retail / grocery,,"13,000",,1,0,x0pa.ai (niche/non-native),0,,78,Brendan,
Reliance Retail Limited,Prospect,Retail (general merchandise),,"58,939 (disputed across sources, 39,000-59,000, unconfirmed)",,,,?,,,77,Brendan,
PLDT Inc.,Prospect,Telecommunications,,"14,304",,,,?,,,74,Brendan,
IHH Healthcare Berhad,Prospect,Healthcare (private hospitals),,"76,000 (disputed across sources, 24,600-76,000, unconfirmed)",,,,?,,,72,Brendan,
Maybank (Malayan Banking Berhad),Prospect,Banking,,"43,372",,,,?,,,69,Brendan,
Newmont Corporation (Australian Operations),Prospect,Mining (gold),,"1,748 (AU ops only, 2025)",,,,?,,,67,Brendan,
AirAsia Group Berhad,Prospect,Airlines (low-cost carrier group),,"14,417",,1,0,Workday (confirmed via live job posting; verify group-wide scope),1,,UNKNOWN,Brendan,
Singapore Airlines Ltd,Prospect,Airlines (Transportation & Logistics),,"16,305",,1,1,Unknown (unconfirmed),,,UNKNOWN,Brendan,
